index,Country/Region,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_Cases,Total_Recovered,Death_Rate,Total_death
145,Saudi Arabia,2760.0,222936,43238,1993.0,27.0,2613,1.03,82.9,1.24,253349,15585,6.15,273567.0,225549,1.0,2787.0
146,Senegal,194.0,6477,3093,83.0,3.0,68,1.99,66.34,3.0,8948,816,9.12,9918.0,6545,2.0,197.0
147,Serbia,543.0,0,23598,411.0,9.0,0,2.25,0.0,40.55829670329671,21253,2888,13.59,24561.0,0,2.0,552.0
148,Seychelles,0.0,39,75,0.0,0.0,0,0.0,34.21,0.0,108,6,5.56,114.0,39,0.0,0.0
149,Sierra Leone,66.0,1317,400,0.0,0.0,4,3.7,73.86,5.01,1711,72,4.21,1787.0,1321,4.0,66.0
150,Singapore,27.0,45692,5119,469.0,0.0,171,0.05,89.88,0.06,48035,2803,5.84,51478.0,45863,0.0,27.0
151,Slovakia,28.0,1616,537,2.0,0.0,39,1.28,74.09,1.73,1980,201,10.15,2222.0,1655,1.0,28.0
152,Slovenia,116.0,1733,238,5.0,0.0,55,5.56,83.04,6.69,1953,134,6.86,2147.0,1788,5.0,116.0
153,Somalia,93.0,1543,1560,18.0,0.0,22,2.91,48.28,6.03,3130,66,2.11,3236.0,1565,3.0,93.0
154,South Africa,7067.0,274925,170537,7096.0,298.0,9848,1.56,60.75,2.57,373628,78901,21.12,469771.0,284773,2.0,7365.0
155,South Korea,300.0,13007,896,28.0,1.0,102,2.11,91.58,2.31,13816,387,2.8,14334.0,13109,2.0,301.0
156,South Sudan,46.0,1175,1084,43.0,1.0,0,2.0,50.98,3.91,2211,94,4.25,2349.0,1175,2.0,47.0
157,Spain,28432.0,150376,93613,0.0,0.0,0,10.44,55.2,18.91,264836,7585,2.86,272421.0,150376,10.0,28432.0
158,Sri Lanka,11.0,2121,673,23.0,0.0,15,0.39,75.61,0.52,2730,75,2.75,2843.0,2136,0.0,11.0
159,Sudan,720.0,5939,4765,39.0,3.0,49,6.3,51.99,12.12,10992,432,3.93,11515.0,5988,6.0,723.0
160,Suriname,24.0,925,534,44.0,1.0,35,1.62,62.37,2.59,1079,404,37.44,1563.0,960,2.0,25.0
161,Sweden,5700.0,0,73695,398.0,3.0,0,7.18,0.0,40.55829670329671,78048,1347,1.73,79796.0,0,7.0,5703.0
162,Switzerland,1978.0,30900,1599,65.0,1.0,200,5.74,89.62,6.4,33634,843,2.51,34743.0,31100,6.0,1979.0
163,Syria,40.0,0,634,24.0,2.0,0,5.93,0.0,40.55829670329671,522,152,29.12,700.0,0,6.0,42.0
164,Taiwan*,7.0,440,15,4.0,0.0,0,1.52,95.24,1.59,451,11,2.44,466.0,440,2.0,7.0
165,Tajikistan,60.0,6028,1147,43.0,1.0,58,0.83,83.32,1.0,6921,314,4.54,7337.0,6086,1.0,61.0
166,Tanzania,21.0,183,305,0.0,0.0,0,4.13,35.95,11.48,509,0,0.0,509.0,183,4.0,21.0
167,Thailand,58.0,3111,128,6.0,0.0,2,1.76,94.36,1.86,3250,47,1.45,3305.0,3113,2.0,58.0
168,Timor-Leste,0.0,0,24,0.0,0.0,0,0.0,0.0,0.0,24,0,0.0,24.0,0,0.0,0.0
169,Togo,18.0,607,249,6.0,0.0,8,2.06,69.45,2.97,783,91,11.62,888.0,615,2.0,18.0
170,Trinidad and Tobago,8.0,128,12,1.0,0.0,0,5.41,86.49,6.25,137,11,8.03,149.0,128,5.0,8.0
171,Tunisia,50.0,1157,248,3.0,0.0,15,3.44,79.52,4.32,1381,74,5.36,1473.0,1172,3.0,50.0
172,Turkey,5630.0,210469,10920,1282.7401129943503,30.401129943502823,982,2.48,92.71,2.67,220572,6447,2.92,229314.14124293785,211451,2.0,5660.401129943502
173,US,148011.0,1325804,2816444,56336.0,1076.0,27941,3.45,30.9,11.16,3834677,455582,11.88,4375612.0,1353745,3.0,149087.0
174,Uganda,2.0,986,140,13.0,0.0,4,0.18,87.41,0.2,1069,59,5.52,1145.0,990,0.0,2.0
175,Ukraine,1636.0,37202,28258,835.0,11.0,317,2.44,55.45,4.4,60767,6329,10.42,68259.0,37519,2.0,1647.0
176,United Arab Emirates,345.0,52510,6322,264.0,1.0,328,0.58,88.73,0.66,57193,1984,3.47,59770.0,52838,1.0,346.0
177,United Kingdom,45844.0,1437,254427,688.0,7.0,3,15.19,0.48,3190.26,296944,4764,1.6,302406.0,1440,15.0,45851.0
178,Uruguay,35.0,951,216,10.0,1.0,3,2.91,79.12,3.68,1064,138,12.97,1216.0,954,3.0,36.0
179,Uzbekistan,121.0,11674,9414,678.0,5.0,569,0.57,55.04,1.04,17149,4060,23.67,22461.0,12243,1.0,126.0
180,Venezuela,146.0,9959,5883,1282.7401129943503,30.401129943502823,213,0.91,62.29,1.47,12334,3654,29.63,17514.141242937854,10172,1.0,176.40112994350284
181,Vietnam,0.0,365,66,1282.7401129943503,30.401129943502823,0,0.0,84.69,0.0,384,47,12.24,1744.1412429378531,365,2.0,30.401129943502823
182,West Bank and Gaza,78.0,3752,6791,152.0,2.0,0,0.73,35.33,2.08,8916,1705,19.12,10775.0,3752,1.0,80.0
183,Western Sahara,1.0,8,1,0.0,0.0,0,10.0,80.0,12.5,10,0,0.0,10.0,8,10.0,1.0
184,Yemen,483.0,833,375,10.0,4.0,36,28.56,49.26,57.98,1619,72,4.45,1741.0,869,28.0,487.0
185,Zambia,140.0,2815,1597,71.0,1.0,465,3.08,61.84,4.97,3326,1226,36.86,5089.0,3280,3.0,141.0
186,Zimbabwe,3516.13,542,2126,192.0,2.0,24,1.33,20.04,6.64,1713,991,57.85,6402.13,566,55.0,3518.13
